DEP_ES03;ARR_ES021;BOMBE;
DEP_ES03;ARR_ES022;KETTE;
DEP_ES03;ARR_ES023;MBANGASSINA;
DEP_ES03;ARR_ES024;MBOTORO;
DEP_ES03;ARR_ES025;NDELELE;
DEP_ES03;ARR_ES026;NDEM-NAM;
DEP_ES04;ARR_ES027;BELABO;
DEP_ES04;ARR_ES028;BERTOUA II;
DEP_ES04;ARR_ES029;BETARE-OYA;
DEP_ES04;ARR_ES030;DIANG;
DEP_ES04;ARR_ES031;GAROUA-BOULAI;
DEP_ES04;ARR_ES032;MANDJOU;
DEP_ES04;ARR_ES033;NGOURA;
DEP_LT01;ARR_LT001;BARE-BAKEM;
DEP_LT01;ARR_LT002;DIBOMBARI;
DEP_LT01;ARR_LT003;FIKO;
DEP_LT01;ARR_LT004;LOUM;
DEP_LT01;ARR_LT005;MANJO;
DEP_LT01;ARR_LT006;MBANGA;
DEP_LT01;ARR_LT007;MELONG;
DEP_LT01;ARR_LT008;MOMBO;
DEP_LT01;ARR_LT009;NJOMBE-PENJA;
DEP_LT01;ARR_LT010;NKONGSAMBA I;
DEP_LT01;ARR_LT011;NKONGSAMBA II;
DEP_LT01;ARR_LT012;NKONGSAMBA III;
DEP_LT01;ARR_LT013;NLONAKO;Ebone
DEP_LT02;ARR_LT014;NKONDJOCK;
DEP_LT02;ARR_LT015;NORD-MAKOMBE;
DEP_LT02;ARR_LT016;YABASSI;
DEP_LT02;ARR_LT017;YINGUI;
DEP_LT03;ARR_LT018;DIBAMBA;
DEP_LT03;ARR_LT019;DIZANGUE;
DEP_LT03;ARR_LT020;EDEA I;
DEP_LT03;ARR_LT021;EDEA II;
DEP_LT03;ARR_LT022;MASSOCK-SONGLOULOU;
DEP_LT03;ARR_LT023;MOUANKO;
DEP_LT03;ARR_LT024;NDOM;
DEP_LT03;ARR_LT025;NGAMPE;
DEP_LT03;ARR_LT026;NGWEI;
DEP_LT03;ARR_LT027;NYANON;
DEP_LT03;ARR_LT028;POUMA;
DEP_LT04;ARR_LT029;DOUALA I;
DEP_LT04;ARR_LT030;DOUALA II;
DEP_LT04;ARR_LT031;DOUALA III;
DEP_LT04;ARR_LT032;DOUALA IV;
DEP_LT04;ARR_LT033;DOUALA V;
DEP_LT04;ARR_LT034;DOUALA VI;
DEP_LT04;ARR_LT035;MANOKA;
DEP_NO01;ARR_NO001;BASHEO;
DEP_NO01;ARR_NO002;BIBEMI;
DEP_NO01;ARR_NO003;DEMBO;
DEP_NO01;ARR_NO004;GAROUA I;
DEP_NO01;ARR_NO005;GAROUA II;
DEP_NO01;ARR_NO006;GAROUA III;
DEP_NO01;ARR_NO007;LAGDO;
DEP_NO01;ARR_NO008;MAY HOURNA;
DEP_NO01;ARR_NO009;PITOA;
DEP_NO01;ARR_NO010;TCHEBOA;Ngong
DEP_NO01;ARR_NO011;TOUROUA;
DEP_NO02;ARR_NO012;BEKA;
DEP_NO02;ARR_NO013;POLI;
DEP_NO03;ARR_NO014;FIGUIL;
DEP_NO03;ARR_NO015;GUIDER;
DEP_NO03;ARR_NO016;MAYO-OULO;
DEP_NO04;ARR_NO017;MADINGRING;
DEP_NO04;ARR_NO018;REY-BOUBA;
DEP_NO04;ARR_NO019;TCHOLLIRE;
DEP_NO04;ARR_NO020;TOUBORO;
DEP_NW01;ARR_NW001;BELO;
DEP_NW01;ARR_NW002;BUM;
DEP_NW01;ARR_NW003;FUNDONG;
DEP_NW01;ARR_NW004;NJINIKOM;
DEP_NW02;ARR_NW005;JAKIRI;
DEP_NW02;ARR_NW006;KUMBO;
DEP_NW02;ARR_NW007;MBVEN;
DEP_NW02;ARR_NW008;NKUM;
DEP_NW02;ARR_NW009;NONI;
DEP_NW02;ARR_NW010;OKU;
DEP_NW03;ARR_NW011;AKO;
DEP_NW03;ARR_NW012;MISAJE;
DEP_NW03;ARR_NW013;NDU;
DEP_NW03;ARR_NW014;NKAMBE;
DEP_NW03;ARR_NW015;NWA;
DEP_NW04;ARR_NW016;FUNGOM;
DEP_NW04;ARR_NW017;FURU-AWA;
DEP_NW04;ARR_NW018;MENCHUM VALLEY;
DEP_NW04;ARR_NW019;WUM;
DEP_NW05;ARR_NW020;BAFUT;
DEP_NW05;ARR_NW021;BALI;
DEP_NW05;ARR_NW022;BAMENDA I;
DEP_NW05;ARR_NW023;BAMENDA II;
DEP_NW05;ARR_NW024;BAMENDA III;
DEP_NW05;ARR_NW025;SANTA;
DEP_NW05;ARR_NW026;TUBAH;
DEP_NW06;ARR_NW027;BATIBO;
DEP_NW06;ARR_NW028;MBENGWI;
DEP_NW06;ARR_NW029;NGIE;
DEP_NW06;ARR_NW030;NJIKWA;
DEP_NW06;ARR_NW031;WIDIKUM-MENKA;
DEP_NW07;ARR_NW032;BABESSI;
DEP_NW07;ARR_NW033;BALIKUMBAT;
DEP_NW07;ARR_NW034;NDOP;
DEP_OU01;ARR_OU001;BABADJOU;
DEP_OU01;ARR_OU002;BATCHAM;
DEP_OU01;ARR_OU003;GALIM;
DEP_OU01;ARR_OU004;MBOUDA;
DEP_OU02;ARR_OU005;BAFANG;
DEP_OU02;ARR_OU006;BAKOU;
DEP_OU02;ARR_OU007;BANA;
DEP_OU02;ARR_OU008;BANDJA;
DEP_OU02;ARR_OU009;BANKA;
DEP_OU02;ARR_OU010;BANWA;
DEP_OU02;ARR_OU011;KEKEM;
DEP_OU03;ARR_OU012;BAHAM;
DEP_OU03;ARR_OU013;BAMENDJOU;
DEP_OU03;ARR_OU014;BANGOU;
DEP_OU03;ARR_OU015;BATIE;
DEP_OU04;ARR_OU016;BAYANGAM;
DEP_OU04;ARR_OU017;DJEMBEM;
DEP_OU04;ARR_OU018;POUMOUGNE;
DEP_OU05;ARR_OU019;DSCHANG;
DEP_OU05;ARR_OU020;FOKOUE;
DEP_OU05;ARR_OU021;FONGO-TONGO;
DEP_OU05;ARR_OU022;NKONG-NI;
DEP_OU05;ARR_OU023;PENKA_MICHEL;
DEP_OU05;ARR_OU024;SANTCHOU;
DEP_OU06;ARR_OU025;BAFOUSSAM I;
DEP_OU06;ARR_OU026;BAFOUSSAM II;
DEP_OU06;ARR_OU027;BAFOUSSAM III;
DEP_OU07;ARR_OU028;BANGANGTE;
DEP_OU07;ARR_OU029;BASSAMBA;
DEP_OU07;ARR_OU030;BAZOU;
DEP_OU07;ARR_OU031;TONGA;
DEP_OU08;ARR_OU032;BANGOURAIN;
DEP_OU08;ARR_OU033;FOUMBAN;
DEP_OU08;ARR_OU034;FOUMBOT;
DEP_OU08;ARR_OU035;KOUOPTAMO;
DEP_OU08;ARR_OU036;KOUTABA;
DEP_OU08;ARR_OU037;MAGBA;
DEP_OU08;ARR_OU038;MALENTOUEN;
DEP_OU08;ARR_OU039;MASSANGAM;
DEP_OU08;ARR_OU040;NJIMOM;
DEP_SU01;ARR_SU001;BENGBIS;
DEP_SU01;ARR_SU002;DJOUM;
DEP_SU01;ARR_SU003;MEYOMESSALA;
DEP_SU01;ARR_SU004;MEYOUMESSI;
DEP_SU01;ARR_SU005;MINTOM;
DEP_SU01;ARR_SU006;OVENG;
DEP_SU01;ARR_SU007;SANGMELIMA;
DEP_SU01;ARR_SU008;ZOETELE;
DEP_SU02;ARR_SU009;BIWONG BANE;
DEP_SU02;ARR_SU010;BIWONG-BULU;
DEP_SU02;ARR_SU011;EBOLOWA I;
DEP_SU02;ARR_SU012;EBOLOWA II;
DEP_SU02;ARR_SU013;EFOULAN;
DEP_SU02;ARR_SU014;MENGONG;
DEP_SU02;ARR_SU015;MVANGAN;
DEP_SU02;ARR_SU016;NGOULEMAKONG;
DEP_SU03;ARR_SU017;AKOM II;
DEP_SU03;ARR_SU018;BIPINDI;
DEP_SU03;ARR_SU019;CAMPO;
DEP_SU03;ARR_SU020;KRIBI I;
DEP_SU03;ARR_SU021;KRIBI II;
DEP_SU03;ARR_SU022;LOKOUNDJE;
DEP_SU03;ARR_SU023;LOLODORF;
DEP_SU03;ARR_SU024;MVENGUE;
DEP_SU03;ARR_SU025;NIETE;
DEP_SU04;ARR_SU026;AMBAM;
DEP_SU04;ARR_SU027;KIOSSI;
DEP_SU04;ARR_SU028;MA'AN;
DEP_SU04;ARR_SU029;OLAMZE;
DEP_SW01;ARR_SW001;BUEA;
